AppID,Name,Discount,Price,Rating,Release,Ends,Started
1507190,Machinika: Museum,1.0,0.0,88.19,2021-03,5,-9
289130,ENDLESS™ Legend,1.0,0.0,82.23,2014-09,1,-6
1586800,Lil Gator Game,0.5,29.99,95.0,2022-12,9,-5
1250,Killing Floor,0.9,3.49,93.36,2009-05,1,-6
874260,The Forgotten City,0.65,25.89,93.25,2021-07,5,-9
757480,Broken Reality,0.85,4.34,88.73,2018-11,1,-6
1723260,CaseCracker,0.5,10.34,88.62,2022-12,11,-3
1232570,Paper Beast,0.75,11.49,88.01,2020-07,5,-9
1710170,Blade of Darkness,0.6,11.59,87.89,2021-10,7,-7
232090,Killing Floor 2,0.95,2.79,86.53,2016-11,1,-6
1603640,The House of Da Vinci 3,0.5,29.99,86.06,2022-12,3,-4
970830,The Dungeon Of Naheulbeuk: The Amulet Of Chaos,0.7,21.89,85.01,2020-09,5,-9
1413480,Shin Megami Tensei III Nocturne HD Remaster,0.8,49.9,84.67,2021-05,7,0
1170080,Foretales,0.5,22.99,82.14,2022-09,5,-9
895620,Spellcaster University,0.6,18.99,80.33,2021-06,8,-2
1337010,Alba: A Wildlife Adventure,0.75,13.12,94.22,2020-12,5,-9
1599020,Tinykin,0.6,29.59,93.57,2022-08,5,-2
349040,NARUTO SHIPPUDEN: Ultimate Ninja STORM 4,0.8,15.5,89.71,2016-02,5,-2
1203710,UnMetal,0.7,16.5,89.45,2021-09,5,-2
1367590,Tormented Souls,0.7,17.99,89.23,2021-08,14,0
2060130,Return to Monkey Island,0.5,36.99,89.23,2022-09,1,-13
1672970,Minecraft Dungeons,0.5,37.47,88.87,2021-09,7,-7
1085220,Figment 2: Creed Valley,0.84,17.34,88.79,2023-03,14,0
1518770,Re: LieF ~ Shin'ainaru Anata e~,0.58,27.71,88.46,2021-02,4,-4
1433340,Happy's Humble Burger Farm,0.75,14.99,88.38,2021-12,5,-2
812140,Assassin's Creed® Odyssey,0.85,26.99,88.13,2018-10,4,-7
1475840,Rhythm Sprout: Sick Beats & Bad Sweets,0.75,11.74,87.87,2023-02,5,-2
1296840,The Spike,0.85,2.54,87.39,2020-06,5,-2
390720,Anarcute,0.8,7.19,86.56,2016-07,5,-9
398030,Old School Musical,0.75,7.99,86.21,2018-09,5,-9
689910,Another Lost Phone: Laura's Story,0.72,2.23,85.84,2017-09,5,-9
523210,A Normal Lost Phone,0.72,2.23,85.33,2017-01,5,-9
1331210,Wolfstride,0.7,14.09,84.9,2021-12,12,-2
1494470,BUSTAFELLOWS,0.75,26.99,84.33,2021-07,14,0
1184480,Inertial Drift,0.9,5.99,83.88,2020-09,14,0
21980,Call of Juarez: Bound in Blood,0.9,1.99,83.38,2009-06,9,0
1859360,Dungeon Village,0.63,6.87,82.7,2022-03,3,-11
